COUNTRY,ISO3,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5
Afghanistan,AFG,3.5,6.4,8.3,8.3,8.3
Albania,ALB,5.7,4.1,3.7,3.7,4.8
Algeria,DZA,4.2,3.6,4.0,4.0,5.2
Angola,AGO,3.0,4.3,7.4,7.4,7.4
Antigua and Barbuda,ATG,4.0,3.4,3.7,3.7,4.4
Argentina,ARG,4.6,3.2,2.5,2.5,4.0
Armenia,ARM,6.1,4.4,3.0,3.0,4.3
Australia,AUS,5.1,3.5,1.0,1.0,1.6
Austria,AUT,6.8,4.7,0.6,0.6,1.4
Azerbaijan,AZE,4.3,3.8,2.4,2.4,4.5
Bahamas,BHS,4.2,3.9,3.5,3.5,3.7
Bahrain,BHR,4.3,2.9,3.0,3.0,4.2
Bangladesh,BGD,3.9,4.6,5.3,5.3,6.2
Barbados,BRB,6.9,4.8,2.9,2.9,3.5
Belarus,BLR,6.3,4.2,1.6,1.6,3.9
Belgium,BEL,7.0,4.7,0.8,0.8,1.7
Belize,BLZ,4.0,3.6,4.6,4.6,5.5
Benin,BEN,2.9,4.1,6.8,6.8,6.4
Bhutan,BTN,2.7,3.9,5.0,5.0,4.4
Bolivia,BOL,3.8,3.8,5.0,5.0,5.7
Bosnia and Herzegovina,BIH,7.2,5.4,3.9,3.9,5.2
Botswana,BWA,4.3,4.3,4.8,4.8,4.5
Brazil,BRA,4.4,3.7,3.9,3.9,5.2
Brunei Darussalam,BRN,4.0,2.7,2.6,2.6,3.0
Bulgaria,BGR,7.8,5.6,1.7,1.7,3.6
Burkina Faso,BFA,2.5,4.7,6.7,6.7,6.4
Burundi,BDI,2.8,5.4,7.0,7.0,7.5
Cabo Verde,CPV,3.3,3.4,4.7,4.7,4.5
Cambodia,KHM,3.6,4.1,6.0,6.0,6.6
Cameroon,CMR,2.4,4.6,6.8,6.8,7.0
Canada,CAN,5.7,3.9,1.9,1.9,2.0
Central African Republic,CAF,2.8,7.3,9.3,9.3,8.7
Chad,TCD,2.8,5.9,9.8,9.8,9.1
Chile,CHL,4.7,3.3,3.0,3.0,3.1
China,CHN,5.2,4.1,3.3,3.3,4.2
Colombia,COL,4.2,4.5,4.1,4.1,5.0
Comoros,COM,2.7,3.9,5.7,5.7,6.9
Congo,COG,2.6,4.8,6.9,6.9,7.4
Congo DR,COD,2.6,5.7,7.0,7.0,7.7
Costa Rica,CRI,4.5,3.5,3.7,3.7,4.0
Côte d'Ivoire,CIV,2.7,4.4,6.8,6.8,6.6
Croatia,HRV,8.1,5.6,2.1,2.1,3.5
Cuba,CUB,6.4,4.4,1.0,1.0,3.5
Cyprus,CYP,5.6,4.4,2.5,2.5,3.1
Czech Republic,CZE,7.8,5.3,0.9,0.9,2.5
Denmark,DNK,7.1,4.8,1.1,1.1,1.2
Djibouti,DJI,3.3,4.6,6.5,6.5,6.7
Dominica,DMA,5.3,4.0,5.9,5.9,5.5
Dominican Republic,DOM,4.2,3.5,4.9,4.9,5.8
